businessName,cashpointName,category,name,price
Rancho El Milagrito,Restaurante Los Jabalíes,Grill,Tacos de arrachera (3 pzs),200
Rancho El Milagrito,Restaurante Los Jabalíes,Grill,Queso fundido,130
Rancho El Milagrito,Restaurante Los Jabalíes,Menú infantil,Pizza infantil,80
Rancho El Milagrito,Restaurante Los Jabalíes,Menú infantil,Banderillas,50
